;;tagId;batteryLevel;lon;lat
tagId;0;W6EHBD2A;1;7,066434982;43,6160195
;1;DPU76JPL;0,99;2,1738777;48,71102
;2;ISQUZYOJ;0,84;5,8837248;48,708096
;3;V96YFRGL;0,95;1,087157414;49,4402351
;4;72P1OARG;0,95;2,4424064;48,6854784
;5;25GZYL8S;0,98;2,319715681;48,6526537
;6;S9V4AQ94;0,86;-0,2189056;46,4148224
;7;SO1MLK99;1;3,558397902;47,7839893
;8;B007M83I;0,96;2,275548352;48,6592974
;9;43L8FVV9;1;2,3759363;48,842525
;10;ZFH3KFY8;0,99;2,34112;48,931072
;11;JT47671A;1;106,8050521;-6,2037615
;12;U94AN7PV;0,98;5,94148409;48,70371434
;13;02ZS5SCV;0,99;2,29979197;48,72400159
;14;L78VRAIQ;1;7,371242082;47,75870561
;15;WNTEMWLQ;0,99;6,17958727;49,35383848
;16;954H4HLF;0,99;6,00253421;47,23270472
;17;W3D75WII;1;2,33723798;48,75823636
;18;ADBRPA2Y;0,98;3,59606348;49,57373745
;19;1TIDNIQE;0,99;2,342563341;48,8644328
;20;ONSLP0BK;0,99;0,8034816;49,36576
;21;TPN3PAOT;0,98;2,9593856;48,3663104
;22;W3FN1OXG;0,98;2,37452694;48,95067245
;23;J1SIBEZ0;0,97;2,9609216;48,365184
;24;38B6P6L8;0,98;2,9609728;48,365056
;25;YU35J5O3;1;5,96764512;48,69773442
;26;75U7QGIR;0,99;2,43272649;48,8642555
;27;EV1GIFXX;0,98;1,0669099;49,4363882
;28;Q072LA37;0,99;2,4085855;48,83896204
;29;ZMWM7SQ8;0,99;2,25890161;48,89228568
;30;2E0SMKE0;0,97;2,22573786;48,82638957
;31;4R95VW93;1;2,407964196;48,82002945
;32;JT0HB0VN;0,9;6,7387331;43,477507
;33;LG0BBXXC;0,98;6,7394304;43,4780416
;34;KV41K9CD;0,99;4,4685056;48,69248
;35;ONWRX7E9;0,92;2,2760681;48,7164925
;36;PM6EHTUD;1;1,078885;49,9060547
;37;63SCM94K;1;2,35859377;48,81618471
;38;4YI1VB2F;0,99;2,29286589;48,58389812
;39;Z4J6XUHK;0,97;2,09686863;49,43862035
;40;JYQB6CUO;0,01;2,3471616;48,7927552
;41;WLQWAHKR;0,98;1,0857586;49,47241422
;42;R0A3IKIL;0,97;1,08814481;49,43484806
;43;V5IPKBOT;0,98;1,134858444;49,4152993
;44;7296UX9W;0,86;-2,963856099;48,52579098
;45;RW08BSKJ;0,97;2,43327687;48,7872497
;46;f18e19c1;0,99;2,2949555;48,70876
;47;4b321c7e;0,99;2,512881;48,798794
;48;IRT82JJ6;0,99;2,724725;48,824394
;49;QQ0M3G8S;0,77;1,076161371;49,31861704
;50;MRHJ7P0E;0,96;2,483890393;48,96997313
;51;YZ93A2WT;0,99;2,341677934;48,7783501
;52;60392VRQ;0,99;1,0759023;49,318336
;53;P6QYHAQ4;0,99;1,0760391;49,31852
;54;YCQGXARB;0,99;2,2961202;48,70969
;55;0K9XS1YU;0,98;2,171812917;48,70993634
;56;56A5HMRF;0,98;2,783644883;48,73457482
;57;83KB2QH4;0,99;2,483056857;48,970207
;58;RIVYMMFB;0,98;2,2637477;48,166245
;59;62eead79;0,97;2,366744827;48,9186297
;60;f30ba997;0,98;2,367127645;48,9185285
;61;G7VFZZVV;1;-2,968134209;48,5291565
;62;FF3P6GO5;1;2,365893176;48,8315394
;63;0IMGS5MI;0,98;2,367024221;48,918248
;64;AFGQPWXS;0,99;2,347426327;48,8109107
;65;06OUR6K4;1;2,35656286;48,9244809
;66;37b40d18;0,97;2,366142338;48,9188305
;67;10562ace;0,97;2,188771786;48,8273146
;68;f54f5e71;0,97;2,512799852;48,7987257
;69;ZCU5SGTZ;0,97;2,222677726;48,8605429
;70;TPQ6T9BQ;0,99;2,782479477;48,73544203
;71;15f3f22a;0,98;2,366782786;48,9184887
;72;1751ecec;0,98;2,5758048;48,8459024
;73;I4FL2V9L;1;2,255762179;48,8548556
;74;SAK60IK2;0,99;1,08740213;49,434958
;75;05S2ZNV2;0,99;0,098134507;49,4910795
;76;JJIUPV8N;0,99;2,483938292;48,9700483
;77;76ebdfe9;0,99;2,366832103;48,9179349
;78;BZ48GXCG;0,98;5,9686528;48,7020416
;79;YNBIW8DS;0,98;2,5864801;48,8437054
;80;J91EIGYC;0,97;2,2358523;48,90377377
;81;M6LIG8KN;0,99;7,709897033;48,58389887
;82;WMWZ3829;0,98;1,0765696;49,43552
;83;fb10dd8a;0,97;2,355182072;48,9231487
;84;OGU4BU90;0,97;2,3710208;48,896384
;85;FPOBNQZ0;0,98;1,0767801;49,3187256
;86;1VWWN2QQ;1;2,365688849;48,9179033
;87;EEW9DKGI;1;2,357912565;48,92355449
;88;74MQ4XW4;0,99;1,075156061;49,31881914
;89;YH2K4G0L;1;2,188876387;48,82745177
;90;MY30OCGG;0,82;5,9697408;48,7020544
;91;PPCWB3HC;0,95;2,222759567;48,8604708
;92;0UFBNQLF;1;5,970191884;48,7027981
;93;W2UANZ1U;0,99;2,237987411;48,8895104
;94;FYS055HT;0,99;2,3128832;49,891328
;95;7E3TMJPO;0,98;2,4838004;48,9700409
;96;5V51PQ9B;0,96;2,4785747;48,9663498
;97;SZO0PTWD;0,98;1,0761493;49,3183815
;98;69QMCC0Q;0,99;2,48380111;48,96991656
;99;HVHU0RO7;1;2,35924198;48,89919712
;100;WM6HA1CI;0,01;1,097206326;49,35435001
;101;7137d69e;0,99;2,366554035;48,9180002
;102;1WHD0V0K;0,97;1,085701334;49,47248868
;103;FMMB72H1;0,97;2,25680376;48,85491554
;104;WAWBGBM9;0,64;1,08423942;49,47227834
;105;I2DUZR8Y;0,97;2,23819121;48,8895838
;106;01LRIUC4;1;2,3663027;48,8420687
;107;YOENYZHK;0,96;2,348055861;48,8114602
;108;e1820b21;0,97;2,3907703;48,81175661
;109;JID9VKKW;0,99;2,366688315;48,9180192
;110;63084ecf;0,99;2,366712979;48,9179659
;111;ZBRSJYW6;0,99;2,4004864;48,9275136
;112;MJ4TR8SH;0,99;2,483854294;48,9699912
;113;SN9O4QPK;1;2,2953544;48,7092853
;114;BEXZXWU2;0,84;2,2940545;48,70810094
;115;QI7QC2GM;0,99;2,30884357;49,89115059
;116;5Z6NGS0N;0,97;2,367422017;48,91887765
;117;ZDYL67K5;1;2,29551893;48,7085447
;118;1AT4SQQY;0,98;5,05497623;47,35842643
;119;F6TSWIA3;0,98;2,3616168;48,90010989
;120;MDNVURWV;1;5,969233593;48,7025001
;121;WI4Q92FS;1;5,97033611;48,70249987
;122;UU55HV3R;0,01;5,97025144;48,7024953
;123;Q2U544H9;0,99;2,489666056;49,0097639
;124;0dc5faac;0,98;2,3667126;48,9180804
;125;M6TQOCF7;0,99;1,08794652;49,43491057
;126;HTVOUM5U;1;5,97007722;48,70151769
;127;SXSWDD19;0,98;2,56011002;49,00293008
;128;M32RCL9J;1;2,1899264;48,7433472
;129;1GSRURWV;0,98;2,20799009;48,67803424
;130;8XUKZJDN;0,98;2,16355842;48,99057272
;131;a545ef78;0,96;2,783339216;48,73507358
;132;W3KHXMSC;1;2,7827968;48,7357952
;133;RG8CG2WL;1;2,3546697;48,9251123
;134;RK3HI014;1;2,20788249;48,67802339
;135;SK3CTQAK;1;0,17370153;49,51523428
;136;37VKKZRG;0,99;2,20788564;48,67801118
;137;B9KPQ0KY;0,99;2,43445395;48,89469917
;138;H470BE7X;0,24;2,33377644;48,87426605
;139;OTAEX4Q3;1;1,0761728;49,3183744
;140;V6QALLXY;0,98;3,28883775;48,55671111
;141;I960W22V;0,99;2,26706822;49,87986389
;142;ISXM8ITW;1;2,36178882;48,9004259
;143;VD74W3IJ;1;1,07642239;49,31883053
;144;AMQG1C7H;0,98;2,56033715;49,00317137
;145;T0E3R64Q;0,99;2,29748447;48,70950475
;146;D379AUT5;1;2,20795546;48,67801167
;147;WEXQVSGP;0,97;2,3660032;48,8918272
;148;VFIY35LB;0,99;2,4343207;48,89472312
;149;A037V6ZY;0,99;1,07532622;49,31968123
;150;7JUG8RLB;1;3,597791166;49,57413317
;151;KVCLHPUH;0,98;2,06375964;48,90018916
;152;Y1LTV99B;0,99;5,9699589;48,7023716
;153;R935JQOB;0,95;2,42632837;48,92962485
;154;JR6LTOAL;0,99;2,29572224;48,7089448
;155;PE54IXOL;0,99;5,96877798;48,69927653
;156;R6F5Q3GR;0,96;-1,5437596;47,2075541
;157;RFISCMYH;0,99;0,35950471;49,6452685
;158;V7D0PQ17;1;2,36462195;48,73316765
;159;W7AOHRD5;0,96;2,295251;48,70847333
;160;F7C8JVA0;1;2,2971578;48,70743148
;161;9JCN7BQS;0,95;1,076516;49,43502874
;162;9XO6X9GN;1;6,20063373;48,68961377
;163;J3Q75Z3K;0,97;2,33491178;48,8957408
;164;WTMMP8QV;0,99;2,34691462;48,79298561
;165;XPWZIIIZ;1;5,96935473;48,7028433
;166;KKXGO1FN;0,99;2,2944107;48,70807998
;167;V4LR64SD;0,99;2,0184576;48,5790464
;168;UBMN8ANR;0,98;1,75723045;49,27970738
;169;DAOWM067;1;5,3191424;43,612544
;170;N9SMVXKP;1;2,4785007;48,9662643
;171;3LU00T3R;0,98;2,29537075;48,70855471
;172;PGB1NJ2R;0,97;2,479872;48,9661696
;173;RVJT82VD;0,99;2,2339328;48,902528
